,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th
CreightonWaters,80.31348122812499,6.5078125,11.6417578125,1.573453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Jefe,7.543734375,22.631203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3250625,0.0,0.0,37.53650466562499,0.0,0.0
Ciao Papa,6.5078125,42.705937303125,41.58087048749999,7.851609375,1.390275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kate_Gilson_3,5.6714765625,5.144731425,1.7409750000000002,0.0,0.0,2.07184375,2.07184375,0.0,0.0,57.30438417812499,26.031249999999993,0.0,0.0,0.0,0.0,0.0,0.0
LalaDon'tCare,0.0,17.375343749999995,0.0,30.044665428124993,15.08746875,19.294651737499997,13.015625,3.14690625,2.07184375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMGilly 1,0.0,5.6714765625,3.4028859375,1.7418454875000002,1.7409750000000002,0.0,0.0,2.07184375,2.07184375,0.0,0.0,0.0,31.27313417812499,52.062499999999986,0.0,0.0,0.0
Aidansg 1,0.0,0.0,41.670015428125,45.80930624999999,9.4259329875,3.13125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amelia,0.0,0.0,0.0,13.015625,28.103093749999996,18.234375,34.42004042812499,6.2633704875000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Steenbergen 1,0.0,0.0,0.0,0.0,31.27313417812499,0.0,26.03125,26.031249999999993,0.0,0.0,0.0,0.0,6.2633704875000005,10.4375,0.0,0.0,0.0
LeBrontosaurus,0.0,0.0,0.0,0.0,13.015625,26.03125,18.234374999999996,5.21875,0.0,0.0,0.0,37.53650466562499,0.0,0.0,0.0,0.0,0.0
BrutustheWalnut,0.0,0.0,0.0,0.0,0.0,31.27313417812499,6.2633704875000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0
ESPNFAN2651414273 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.30438417812499,38.5884329875,4.1436875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smgilson 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.30438417812499,38.5884329875,4.1436875,0.0,0.0,0.0,0.0,0.0,0.0
georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.86156716562499,30.1749375,0.0,0.0,0.0,0.0,0.0
TGilly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,37.53650466562499,0.0
Cgilly61 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.53650466562499,0.0,62.5,0.0
Nota Pene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03650466562499
